enz	rxns	protein_stoich	MW (g/mmol)	status
YER069W	ACGK_m,AGPRi_m	YER069W:1	95.7184	automatically added
YJL071W	ACGS_m	YJL071W:1	66.17464	automatically added
YMR062C	ACGS_m,ORNTACi_m	YMR062C:1	48.27128	automatically added
YMR108W	ACHBS_m,ACLS_m	YMR108W:1	75.60921	automatically added
YOR126C	ACHLE3_c,ACHLE1_c,ACHLE2_c	YOR126C:1	27.55997	automatically added
YGL055W	ACOADS160_rm,ACOADS180_rm	YGL055W:1	58.90342	automatically added
YBL015W	ACOAHi_m,SUCACCT_m	YBL015W:1	59.21237	automatically added
YGL205W	ACOAO100_x,ACOAO120_x,ACOAO260_x,ACOAO160_x,ACOAO180_x,ACOAO140_x,ACOAO40_x,ACOAO60_x,ACOAO80_x,ACOAO200_x,ACOAO220_x,ACOAO240_x,ACOAO161b_x,ACOAO141b_x,ACOAO121a_x,ACOAO181a_x,ACOAO161a_x,ACOAO141a_x	YGL205W:1	84.77833	automatically added
YKL192C	ACOATA_m	YKL192C:1	14.04452	automatically added
YPR002W	ACONT2_m	YPR002W:1	58.19317	automatically added
YLR304C	ACONTb_m,ACONTa_m,ACONTa_c,ACONTb_c	YLR304C:1	86.13043	automatically added
YOL140W	ACOTAi_m	YOL140W:1	47.086	automatically added
YHR215W	ACP1_e	YHR215W:1	53.1309	automatically added
YAR071W	ACP1_e	YAR071W:1	53.18898	automatically added
YBR093C	ACP1_e	YBR093C:1	53.28064	automatically added
YBR092C	ACP1_e,THMDP_e,THMP_e	YBR092C:1	53.19367	automatically added
YLR153C	ACS_c	YLR153C:1	76.14679	automatically added
YAL054C	ACS_c	YAL054C:1	79.82596	automatically added
YAL061W	ACTNOR_c,ACTNOR_n	YAL061W:1	46.48312	automatically added
YCR010C	ACt_c_e	YCR010C:1	30.98371	automatically added
YMR289W	ADCL_c	YMR289W:1	42.98936	automatically added
YNR033W	ADCS_c	YNR033W:1	89.29424	automatically added
YNL141W	ADD_c,ADA_c,DADA_c	YNL141W:1	39.94656	automatically added
YER060W-A	ADEtps_e,CSNtps_e,GUAtps_e	YER060W-A:1	57.82866	automatically added
YER060W	ADEtps_e,CSNtps_e,GUAtps_e	YER060W:1	58.55046	automatically added
YER056C	ADEtps_e,CSNtps_e,GUAtps_e	YER056C:1	58.70558	automatically added
YGL186C	ADEtps_e,CSNtps_e,GUAtps_e,PYDXNtps_e	YGL186C:1	65.11774	automatically added
YDR226W	ADK1_c	YDR226W:1	24.4556	automatically added
YDL166C	ADK1_c,DADK_c	YDL166C:1	22.88079	automatically added
YER170W	ADK1_m,ADK3_m	YER170W:1	25.40377	automatically added
YOL052C	ADMDC_c	YOL052C:1	46.5958	automatically added
YJL005W	ADNCYC_c	YJL005W:1	229.83395	automatically added
YJR105W	ADNK1_c	YJR105W:1	36.68092	automatically added
YAL022C	ADNtps_e,CYTDtps_e	YAL022C:1	58.7966	automatically added
YBR085W	ADPATPt_c_m	YBR085W:1	33.62166	automatically added
YMR056C	ADPATPt_c_m	YMR056C:1	34.42722	automatically added
YBL030C	ADPATPt_c_m	YBL030C:1	34.74597	automatically added
YPR128C	ADPATPt_c_x,AMPATPt_c_x	YPR128C:1	36.69207	automatically added
YBR046C	ADPRIB1P_c	YBR046C:1	37.33932	automatically added
YDR441C	ADPT_c	YDR441C:1	20.1367	automatically added
YML022W	ADPT_c	YML022W:1	20.74965	automatically added
YKL001C	ADSK_c	YKL001C:1	23.24623	automatically added
YLR359W	ADSL2i_c,ADSL1r_c	YLR359W:1	54.96694	automatically added
YNL220W	ADSS_c	YNL220W:1	48.69581	automatically added
YDL045C	AFAT_c,FMNAT_m	YDL045C:1	35.82274	automatically added
YIL124W	AGNPR_rm,AGNPR_l	YIL124W:1	33.1017	automatically added
YOR081C	AGPAT_l,TAGL_l	YOR081C:1	85.4603	automatically added
YKR089C	AGPAT_l,TAGL_l,PLAA2pc_l,PLAA2pe_l	YKR089C:1	103.61074	automatically added
YOR175C	AGPAT_rm	YOR175C:1	72.85745	automatically added
YDL052C	AGPAT_rm,AGPAT_l	YDL052C:1	34.18873	automatically added
YFL030W	AGTi_c	YFL030W:1	42.27583	automatically added
YER043C	AHCi_c	YER043C:1	49.54504	automatically added
YFL058W	AHMMPS4_c	YFL058W:1	38.91641	automatically added
YOR128C	AIRC1_c	YOR128C:1	62.89089	automatically added
YMR241W	AKGCITta_m	YMR241W:1	34.49831	automatically added
YDR148CYFL018CYIL125W	AKGDH_m	YDR148C:1,YFL018C:1,YIL125W:1	220.77906000000002	automatically added
YDR481C	AKP1_c	YDR481C:1	63.52325	automatically added
YDR232W	ALAS_m	YDR232W:1	59.89073	automatically added
YLR089C	ALATA_L_m	YLR089C:1	66.99107	automatically added
YOR335C	ALATRS_c	YOR335C:1	108.19082	automatically added
YDR046C	ALAtps_e,CYStps_e,ILEtps_e,LEUtps_e,METtps_e,PHEtps_e,THRtps_e,TRPtps_e,TYRtps_e,VALtps_e	YDR046C:1	67.95437	automatically added
YBR068C	ALAtps_e,CYStps_e,ILEtps_e,LEUtps_e,METtps_e,PHEtps_e,TRPtps_e,TYRtps_e,VALtps_e	YBR068C:1	68.36477	automatically added
YDR368W	ALCD19y_c,ALCD22yi_c	YDR368W:1	35.04771	automatically added
YHR104W	ALCD19y_c,ARABR_c,LALDO3_c,XYLR_c	YHR104W:1	37.42541	automatically added
YOL086C	ALCD22xi_c,ALCD25xi_c,ALCD24xi_c,ALCD23xi_c,ALCD26xi_c,ALCD2i2_c	YOL086C:1	37.17482	automatically added
