id	rxn_src	enz	protein_stoich
RXN-5AOPt_c_m_FWD-SPONT	5AOPt_c_m	SPONT	zeroCost
RXN-5AOPt_c_m_REV-SPONT	5AOPt_c_m	SPONT	zeroCost
RXN-5AOPtps_e_FWD-YDL210W	5AOPtps_e	YDL210W	YDL210W:1
RXN-5DPMIPPH_c_FWD-YOR163W	5DPMIPPH_c	YOR163W	YOR163W:1
RXN-5FTHFt_c_e_FWD-SPONT	5FTHFt_c_e	SPONT	zeroCost
RXN-5FTHFt_c_e_REV-SPONT	5FTHFt_c_e	SPONT	zeroCost
RXN-5OPROAH_c_FWD-YKL215C	5OPROAH_c	YKL215C	YKL215C:1
RXN-6DPMIPPH_c_FWD-YLR410W	6DPMIPPH_c	YLR410W	YLR410W:1
RXN-6DPMIPPH_c_FWD-YOR163W	6DPMIPPH_c	YOR163W	YOR163W:1
RXN-6DPMIPPH_c_REV-YLR410W	6DPMIPPH_c	YLR410W	YLR410W:1
RXN-6DPMIPPH_c_REV-YOR163W	6DPMIPPH_c	YOR163W	YOR163W:1
RXN-8AONNtps_e_FWD-YNR056C	8AONNtps_e	YNR056C	YNR056C:1
RXN-8AONNtps_e_REV-YNR056C	8AONNtps_e	YNR056C	YNR056C:1
RXN-AACTOOR_c_FWD-SPONT	AACTOOR_c		zeroCost
RXN-AASADy_c_FWD-YBR115CYGL154C	AASADy_c	YBR115CYGL154C	YBR115C:1,YGL154C:1
RXN-AATA_c_FWD-YER152C	AATA_c	YER152C	YER152C:1
RXN-AATA_c_FWD-YGL202W	AATA_c	YGL202W	YGL202W:1
RXN-AATA_c_FWD-YJL060W	AATA_c	YJL060W	YJL060W:1
RXN-AATA_c_REV-YER152C	AATA_c	YER152C	YER152C:1
RXN-AATA_c_REV-YGL202W	AATA_c	YGL202W	YGL202W:1
RXN-AATA_c_REV-YJL060W	AATA_c	YJL060W	YJL060W:1
RXN-ABTA_c_FWD-YGR019W	ABTA_c	YGR019W	YGR019W:1
RXN-ABTt_c_e_FWD-SPONT	ABTt_c_e	SPONT	zeroCost
RXN-ABTt_c_e_REV-SPONT	ABTt_c_e	SPONT	zeroCost
RXN-ABUTD_m_FWD-YOR374W	ABUTD_m	YOR374W	YOR374W:1
RXN-ACACT100i_x_FWD-YIL160C	ACACT100i_x	YIL160C	YIL160C:1
RXN-ACACT120i_x_FWD-YIL160C	ACACT120i_x	YIL160C	YIL160C:1
RXN-ACACT121ai_x_FWD-YIL160C	ACACT121ai_x	YIL160C	YIL160C:1
RXN-ACACT140i_x_FWD-YIL160C	ACACT140i_x	YIL160C	YIL160C:1
RXN-ACACT141ai_x_FWD-YIL160C	ACACT141ai_x	YIL160C	YIL160C:1
RXN-ACACT141bi_x_FWD-YIL160C	ACACT141bi_x	YIL160C	YIL160C:1
RXN-ACACT160i_x_FWD-YIL160C	ACACT160i_x	YIL160C	YIL160C:1
RXN-ACACT161ai_x_FWD-YIL160C	ACACT161ai_x	YIL160C	YIL160C:1
RXN-ACACT161bi_x_FWD-YIL160C	ACACT161bi_x	YIL160C	YIL160C:1
RXN-ACACT180i_x_FWD-YIL160C	ACACT180i_x	YIL160C	YIL160C:1
RXN-ACACT181ai_x_FWD-YIL160C	ACACT181ai_x	YIL160C	YIL160C:1
RXN-ACACT200i_x_FWD-YIL160C	ACACT200i_x	YIL160C	YIL160C:1
RXN-ACACT220i_x_FWD-YIL160C	ACACT220i_x	YIL160C	YIL160C:1
RXN-ACACT240i_x_FWD-YIL160C	ACACT240i_x	YIL160C	YIL160C:1
RXN-ACACT260i_x_FWD-YIL160C	ACACT260i_x	YIL160C	YIL160C:1
RXN-ACACT40i_x_FWD-YIL160C	ACACT40i_x	YIL160C	YIL160C:1
RXN-ACACT40ir_c_FWD-YPL028W	ACACT40ir_c	YPL028W	YPL028W:1
RXN-ACACT40ir_c_REV-YPL028W	ACACT40ir_c	YPL028W	YPL028W:1
RXN-ACACT40ir_m_FWD-YPL028W	ACACT40ir_m	YPL028W	YPL028W:1
RXN-ACACT40ir_m_REV-YPL028W	ACACT40ir_m	YPL028W	YPL028W:1
RXN-ACACT60i_x_FWD-YIL160C	ACACT60i_x	YIL160C	YIL160C:1
RXN-ACACT80i_x_FWD-YIL160C	ACACT80i_x	YIL160C	YIL160C:1
RXN-ACALDCD_c_FWD-YGR087C	ACALDCD_c	YGR087C	YGR087C:1
RXN-ACALDCD_c_FWD-YLR044C	ACALDCD_c	YLR044C	YLR044C:1
RXN-ACALDCD_c_FWD-YLR134W	ACALDCD_c	YLR134W	YLR134W:1
RXN-ACALDt_c_e_FWD-SPONT	ACALDt_c_e	SPONT	zeroCost
RXN-ACALDt_c_e_REV-SPONT	ACALDt_c_e	SPONT	zeroCost
RXN-ACALDt_c_m_FWD-SPONT	ACALDt_c_m	SPONT	zeroCost
RXN-ACALDt_c_m_REV-SPONT	ACALDt_c_m	SPONT	zeroCost
RXN-ACCOAC_c_FWD-YDL141WYNR016C	ACCOAC_c	YDL141WYNR016C	YDL141W:1,YNR016C:1
RXN-ACCOAC_m_FWD-YMR207C	ACCOAC_m	YMR207C	YMR207C:1
RXN-ACCOAt_c_n_FWD-SPONT	ACCOAt_c_n	SPONT	zeroCost
RXN-ACCOAt_c_n_REV-SPONT	ACCOAt_c_n	SPONT	zeroCost
RXN-ACGAM6PS_c_FWD-YFL017C	ACGAM6PS_c	YFL017C	YFL017C:1
RXN-ACGAM6PS_c_REV-YFL017C	ACGAM6PS_c	YFL017C	YFL017C:1
RXN-ACGAMPM_c_FWD-YEL058W	ACGAMPM_c	YEL058W	YEL058W:1
RXN-ACGAMPM_c_REV-YEL058W	ACGAMPM_c	YEL058W	YEL058W:1
RXN-ACGK_m_FWD-YER069W	ACGK_m	YER069W	YER069W:1
RXN-ACGS_m_FWD-YJL071W	ACGS_m	YJL071W	YJL071W:1
RXN-ACGS_m_FWD-YMR062C	ACGS_m	YMR062C	YMR062C:1
RXN-ACGS_m_REV-YJL071W	ACGS_m	YJL071W	YJL071W:1
RXN-ACGS_m_REV-YMR062C	ACGS_m	YMR062C	YMR062C:1
RXN-ACHBS_m_FWD-YMR108W	ACHBS_m	YMR108W	YMR108W:1
RXN-ACHLE1_c_FWD-YOR126C	ACHLE1_c	YOR126C	YOR126C:1
RXN-ACHLE2_c_FWD-YOR126C	ACHLE2_c	YOR126C	YOR126C:1
RXN-ACHLE3_c_FWD-YOR126C	ACHLE3_c	YOR126C	YOR126C:1
RXN-ACLS_m_FWD-YMR108W	ACLS_m	YMR108W	YMR108W:1
RXN-ACOADS160_rm_FWD-YGL055W	ACOADS160_rm	YGL055W	YGL055W:1
RXN-ACOADS180_rm_FWD-YGL055W	ACOADS180_rm	YGL055W	YGL055W:1
RXN-ACOAHi_m_FWD-YBL015W	ACOAHi_m	YBL015W	YBL015W:1
RXN-ACOAO100_x_FWD-YGL205W	ACOAO100_x	YGL205W	YGL205W:1
RXN-ACOAO120_x_FWD-YGL205W	ACOAO120_x	YGL205W	YGL205W:1
RXN-ACOAO121a_x_FWD-YGL205W	ACOAO121a_x	YGL205W	YGL205W:1
RXN-ACOAO140_x_FWD-YGL205W	ACOAO140_x	YGL205W	YGL205W:1
RXN-ACOAO141a_x_FWD-YGL205W	ACOAO141a_x	YGL205W	YGL205W:1
RXN-ACOAO141b_x_FWD-YGL205W	ACOAO141b_x	YGL205W	YGL205W:1
RXN-ACOAO160_x_FWD-YGL205W	ACOAO160_x	YGL205W	YGL205W:1
RXN-ACOAO161a_x_FWD-YGL205W	ACOAO161a_x	YGL205W	YGL205W:1
RXN-ACOAO161b_x_FWD-YGL205W	ACOAO161b_x	YGL205W	YGL205W:1
RXN-ACOAO180_x_FWD-YGL205W	ACOAO180_x	YGL205W	YGL205W:1
RXN-ACOAO181a_x_FWD-YGL205W	ACOAO181a_x	YGL205W	YGL205W:1
RXN-ACOAO200_x_FWD-YGL205W	ACOAO200_x	YGL205W	YGL205W:1
RXN-ACOAO220_x_FWD-YGL205W	ACOAO220_x	YGL205W	YGL205W:1
RXN-ACOAO240_x_FWD-YGL205W	ACOAO240_x	YGL205W	YGL205W:1
RXN-ACOAO260_x_FWD-YGL205W	ACOAO260_x	YGL205W	YGL205W:1
RXN-ACOAO40_x_FWD-YGL205W	ACOAO40_x	YGL205W	YGL205W:1
RXN-ACOAO60_x_FWD-YGL205W	ACOAO60_x	YGL205W	YGL205W:1
RXN-ACOAO80_x_FWD-YGL205W	ACOAO80_x	YGL205W	YGL205W:1
RXN-ACOATA_m_FWD-YKL192C	ACOATA_m	YKL192C	YKL192C:1
RXN-ACOATA_m_REV-YKL192C	ACOATA_m	YKL192C	YKL192C:1
RXN-ACONIs_c_FWD-SPONT	ACONIs_c	SPONT	zeroCost
RXN-ACONIs_c_REV-SPONT	ACONIs_c	SPONT	zeroCost
RXN-ACONIs_m_FWD-SPONT	ACONIs_m	SPONT	zeroCost
RXN-ACONIs_m_REV-SPONT	ACONIs_m	SPONT	zeroCost
RXN-ACONMT_c_FWD-YER175C	ACONMT_c	YER175C	YER175C:1
RXN-ACONT2_m_FWD-YPR002W	ACONT2_m	YPR002W	YPR002W:1
RXN-ACONT2_m_REV-YPR002W	ACONT2_m	YPR002W	YPR002W:1
RXN-ACONTa_c_FWD-YLR304C	ACONTa_c	YLR304C	YLR304C:1
RXN-ACONTa_c_REV-YLR304C	ACONTa_c	YLR304C	YLR304C:1
RXN-ACONTa_m_FWD-YLR304C	ACONTa_m	YLR304C	YLR304C:1
RXN-ACONTa_m_REV-YLR304C	ACONTa_m	YLR304C	YLR304C:1
RXN-ACONTb_c_FWD-YLR304C	ACONTb_c	YLR304C	YLR304C:1
RXN-ACONTb_c_REV-YLR304C	ACONTb_c	YLR304C	YLR304C:1
RXN-ACONTb_m_FWD-YLR304C	ACONTb_m	YLR304C	YLR304C:1
RXN-ACONTb_m_REV-YLR304C	ACONTb_m	YLR304C	YLR304C:1
RXN-ACOTAi_m_FWD-YOL140W	ACOTAi_m	YOL140W	YOL140W:1
RXN-ACP1_e_FWD-YAR071W	ACP1_e	YAR071W	YAR071W:1
RXN-ACP1_e_FWD-YBR092C	ACP1_e	YBR092C	YBR092C:1
RXN-ACP1_e_FWD-YBR093C	ACP1_e	YBR093C	YBR093C:1
RXN-ACP1_e_FWD-YHR215W	ACP1_e	YHR215W	YHR215W:1
RXN-ACRNt_c_m_FWD-YOR100C	ACRNt_c_m	YOR100C	YOR100C:1
RXN-ACRNt_c_x_FWD-SPONT	ACRNt_c_x	SPONT	zeroCost
RXN-ACS_c_FWD-YAL054C	ACS_c	YAL054C	YAL054C:1
RXN-ACS_c_FWD-YLR153C	ACS_c	YLR153C	YLR153C:1
RXN-ACTNOR_c_FWD-YAL061W	ACTNOR_c	YAL061W	YAL061W:1
RXN-ACTNOR_c_REV-YAL061W	ACTNOR_c	YAL061W	YAL061W:1
RXN-ACTNOR_n_FWD-YAL061W	ACTNOR_n	YAL061W	YAL061W:1
RXN-ACTNOR_n_REV-YAL061W	ACTNOR_n	YAL061W	YAL061W:1
RXN-ACt_c_e_FWD-YCR010C	ACt_c_e	YCR010C	YCR010C:1
RXN-ACt_c_e_REV-YCR010C	ACt_c_e	YCR010C	YCR010C:1
RXN-ACt_c_n_FWD-SPONT	ACt_c_n	SPONT	zeroCost
RXN-ACt_c_n_REV-SPONT	ACt_c_n	SPONT	zeroCost
RXN-ADA_c_FWD-YNL141W	ADA_c	YNL141W	YNL141W:1
RXN-ADCL_c_FWD-YMR289W	ADCL_c	YMR289W	YMR289W:1
RXN-ADCS_c_FWD-YNR033W	ADCS_c	YNR033W	YNR033W:1
RXN-ADD_c_FWD-YNL141W	ADD_c	YNL141W	YNL141W:1
RXN-ADEt_c_m_FWD-SPONT	ADEt_c_m	SPONT	zeroCost
RXN-ADEt_c_m_REV-SPONT	ADEt_c_m	SPONT	zeroCost
RXN-ADEtps_e_FWD-YER056C	ADEtps_e	YER056C	YER056C:1
RXN-ADEtps_e_FWD-YER060W	ADEtps_e	YER060W	YER060W:1
RXN-ADEtps_e_FWD-YER060W-A	ADEtps_e	YER060W-A	YER060W-A:1
RXN-ADEtps_e_FWD-YGL186C	ADEtps_e	YGL186C	YGL186C:1
RXN-ADK1_c_FWD-YDL166C	ADK1_c	YDL166C	YDL166C:1
RXN-ADK1_c_FWD-YDR226W	ADK1_c	YDR226W	YDR226W:1
RXN-ADK1_m_FWD-YER170W	ADK1_m	YER170W	YER170W:1
RXN-ADK3_m_FWD-YER170W	ADK3_m	YER170W	YER170W:1
RXN-ADK3_m_REV-YER170W	ADK3_m	YER170W	YER170W:1
RXN-ADMDC_c_FWD-YOL052C	ADMDC_c	YOL052C	YOL052C:1
RXN-ADNCYC_c_FWD-YJL005W	ADNCYC_c	YJL005W	YJL005W:1
RXN-ADNK1_c_FWD-YJR105W	ADNK1_c	YJR105W	YJR105W:1
RXN-ADNtps_e_FWD-YAL022C	ADNtps_e	YAL022C	YAL022C:1
RXN-ADPATPt_c_m_FWD-YBL030C	ADPATPt_c_m	YBL030C	YBL030C:1
