"j"	"v"	"v_enzload"	"+ slack"	"- slack"
"RXN-CERH326_r_FWD-YMR272C"	 4.823893356657645E+00	 1.000000000000000E-09	 0.00E+00	 4.82E+00
"RXN-CHTNS_c_FWD-YNL192W"	 6.113049822090327E+02	 3.791518781223584E-03	 3.60E-08	 0.00E+00
"RXN-CHOLK_c_FWD-YLR133W"	 8.656462943321764E+02	 3.359697808331006E-02	 8.34E+02	 0.00E+00
"RXN-CHORM_c_FWD-YPR060C"	 1.298987444718702E+04	 3.726776666912915E-02	 0.00E+00	 6.98E+02
"RXN-CHORS_c_FWD-YGL148W"	 1.471152925774388E+04	 8.786101975053107E-02	 0.00E+00	 6.04E+02
"RXN-CS_x_FWD-YCR005C"	 3.091361746664400E+01	 7.771769253376419E-02	 1.21E+03	 0.00E+00
"RXN-CTPS2_c_FWD-YBL039C"	 4.550555859051583E+03	 1.013044280567017E-01	 5.75E+02	 0.00E+00
"RXN-CYSTGL_c_FWD-YAL012W"	 9.452054704623419E+03	 2.478198093927700E-01	 0.00E+00	 9.44E+01
"RXN-CYSS_c_FWD-YLR303W"	 2.359375451795701E+03	 1.000000000000000E-09	 0.00E+00	 2.36E+03
"RXN-CYSTRS_c_FWD-YNL247W"	 1.713466153368765E+03	 6.058195662140441E-02	 0.00E+00	 1.12E+02
"RXN-DCYTD_c_FWD-YLR245C"	 4.564385149169751E+01	 4.823721631743353E-03	 1.98E+02	 0.00E+00
"RXN-DHNPA2i_m_FWD-YNL256W"	 2.351768932934874E+00	 1.285131727203935E-02	 0.00E+00	 8.48E-03
"RXN-DHAD2_m_FWD-YJR016C"	 1.144694831882669E+04	 3.247225983168289E-02	 0.00E+00	 1.05E+04
"RXN-DOLPMT_c_FWD-YPR183W"	 1.666268299112991E+04	 3.259137823974097E-01	 2.10E-08	 0.00E+00
"RXN-DTMPK_c_FWD-YJR057W"	 1.545044098819040E+02	 8.620125773847713E-03	 1.20E-06	 0.00E+00
"RXN-DUTPDP_c_FWD-YBR252W"	 1.071562533905055E-06	 1.726878515272340E-02	 8.74E+02	 0.00E+00
"RXN-FACOAL160_x_FWD-YER015W"	 4.671553698972654E+02	 0.000000000000000E+00	 0.00E+00	 4.67E+02
"RXN-FMNRx_c_FWD-YLR011W"	 3.514440790021243E-01	 5.649947470160790E-03	 0.00E+00	 0.00E+00
"RXN-FBP2_c_FWD-YLR345W"	 9.352635655544822E+01	 7.052526293308754E-03	 2.63E+02	 0.00E+00
"RXN-DHORDfum_c_FWD-YKL216W"	 4.599440215040027E+03	 6.888117772652147E-02	 3.19E+00	 0.00E+00
"RXN-GRTT_c_FWD-YJL167W"	 2.599447980456113E+03	 1.783972579780801E-04	 0.00E+00	 2.60E+03
"RXN-GLNTRS_c_FWD-YOR168W"	 6.507920036926107E+03	 1.335914729682708E-01	 0.00E+00	 2.06E+02
"RXN-GLUTRS_c_FWD-GUS1ARC1"	 1.234526473883310E+04	 3.338023724709152E-01	 0.00E+00	 4.23E+02
"RXN-GPDDA1pp_c_FWD-YPL110C"	 7.866559114166029E+02	 8.901086914351876E-03	 0.00E+00	 3.36E+02
"RXN-GARFT_c_FWD-YDR408C"	 5.302678557627138E+03	 1.045350781906998E-01	 0.00E+00	 2.89E+00
"RXN-GTPCI_c_FWD-YGR267C"	 2.351768932934874E+00	 1.082525054802629E-02	 0.00E+00	 0.00E+00
"RXN-GK1_c_FWD-YDR454C"	 2.541054117402652E+03	 3.664948387534597E-01	 0.00E+00	 1.44E+00
"RXN-HEMEOS_m_FWD-YPL172C"	 3.731423724238118E-02	 1.482766363458348E-03	 1.06E+00	 0.00E+00
"RXN-HISTD_c_FWD-YCL030C"	 3.580919124431935E+03	 6.547876597671363E-01	 0.00E+00	 1.41E+02
"RXN-HISTP_c_FWD-YFR025C"	 3.580919124431935E+03	 1.630157533954221E-02	 0.00E+00	 1.41E+02
"RXN-HSTPT_c_FWD-YIL116W"	 3.580919124431935E+03	 3.004009452635635E-01	 0.00E+00	 1.41E+02
"RXN-HCYSMT_c_FWD-YLL062C"	 4.511849621029178E+02	 5.089299831625305E-02	 2.12E+03	 0.00E+00
"RXN-HSDx_c_FWD-YJR139C"	 2.535711192552908E+04	 3.703461445922682E-01	 0.00E+00	 7.05E+02
"RXN-HSK_c_FWD-YHR025W"	 1.239901483919779E+04	 1.140066412047919E-01	 0.00E+00	 7.05E+02
"RXN-GLYOX_c_FWD-YDR272W"	 1.000000000021257E-02	 3.639789325517589E-02	 0.00E+00	 0.00E+00
"RXN-PPBNGD_c_FWD-YDL205C"	 1.766886136241214E+00	 4.509417665536783E-02	 0.00E+00	 1.21E-01
"RXN-HMGCOAS_c_FWD-YML126C"	 7.798343941357837E+03	 3.799600788927548E-01	 0.00E+00	 1.12E-01
"RXN-HMPK1_c_FWD-YOL055C"	 2.361591180592988E+01	 8.631546511289803E-03	 4.13E+02	 0.00E+00
"RXN-IG3PS_c_FWD-YBR248C"	 3.580919124431935E+03	 2.908108625057326E-01	 0.00E+00	 1.41E+02
"RXN-IGPDH_c_FWD-YOR202W"	 3.580919124431935E+03	 1.891243946180980E-01	 0.00E+00	 1.41E+02
"RXN-IMPD_c_FWD-YLR432W"	 2.197219467023887E+03	 5.196863917059871E-02	 3.42E+02	 0.00E+00
"RXN-ICDHy_x_FWD-YNL009W"	 5.299455841881826E+00	 2.683337242983125E-04	 8.28E+00	 0.00E+00
"RXN-ILETA_c_REV-YJR148W"	 9.639994451221717E+03	 1.000000000000000E-09	 0.00E+00	 9.64E+03
"RXN-ILETRS_c_FWD-YBL076C"	 1.144694831882669E+04	 2.766847222878472E-01	 0.00E+00	 6.61E+02
"RXN-KARA2i_m_FWD-YLR355C"	 1.144694831882669E+04	 1.673194095562696E-01	 0.00E+00	 1.05E+04
"RXN-LALDO3_c_FWD-YHR104W"	 7.325246674391798E+03	 2.308337469287326E-01	 4.35E+03	 0.00E+00
"RXN-LNSTLS_c_FWD-YHR072W"	 1.299705333109435E+03	 7.436383410716225E-03	 1.19E-01	 0.00E+00
"RXN-LEUTA_c_REV-YJR148W"	 1.582266441952562E+04	 6.761211133095727E-03	 0.00E+00	 5.99E+02
"RXN-LEUTRS_c_FWD-YPL160W"	 1.582266441952562E+04	 2.268443516483011E-01	 0.00E+00	 5.99E+02
"RXN-LYSTRS_c_FWD-YDR037W"	 1.417938475890376E+04	 2.497008936626073E-01	 1.32E+03	 0.00E+00
"RXN-ME2_m_FWD-YKL029C"	 2.355951137325740E+04	 9.973156706171259E-02	 0.00E+00	 1.85E+04
"RXN-MAN1PT_c_FWD-YDL055C"	 1.666268299112991E+04	 1.433503731001438E+00	 5.09E-09	 0.00E+00
"RXN-MAN6PI_c_REV-YER003C"	 1.666268299112991E+04	 3.522004117338997E-01	 0.00E+00	 4.74E-09
"RXN-METAT_c_FWD-YLR180W"	 4.310616648806634E+03	 1.330264375697177E-01	 2.42E+03	 0.00E+00
"RXN-METS_c_FWD-YER091C"	 5.325760111289670E+03	 3.309865146740651E+00	 5.46E+02	 0.00E+00
"RXN-METTRS_c_FWD-MES1ARC1"	 3.506042381707886E+03	 1.010495649841919E-02	 0.00E+00	 3.32E+03
"RXN-DPMVD_c_FWD-YNR043W"	 7.798343941368339E+03	 1.824984084437963E-01	 3.88E+00	 0.00E+00
