Rxn,3hppa,3hppb,4hbz,btd,btoh,citm,cou,hdca,hxdcol,ibutoh,muco,nrgn,retcln,rsvtol,sesqt,tag
PC_c,0.216327780721982,2.924272222341628,0.49545804777318,0.09423346466437,2.599255153812744,1.584076811925295,0.427010444956235,0.3029947177014,0.323212841766598,2.706431067684915,0.535840324332741,1.212986875948304,0.651842326183118,1.212986875832819,0.943060720326444,0.012084707591867
PCt_c_rm,-0.000881227599028,-0.000881227599028,-0.000881227599028,-0.000881227599028,-0.000881227599028,-0.000881227599028,-0.000881227599028,-0.000881227599028,-0.000881227599028,-0.000881227599028,-0.000881227599028,-0.000881227599028,-0.000881227599028,-0.000881227599028,-0.000881227599028,-0.000270427078694
PDH_m,0.074345334556754,0.412690678006721,0.160430497076406,0.031787421326399,1.939189476013861,0.137395299297354,0.137902647266931,0.113615751195054,0.120491820406023,0.679810860285021,0.173653557364704,0.154683662714377,0.276343245821173,0.154683662742568,0.127570502412717,0.011691816383673
PDMEMT_rm,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000270427078694
PEMT_rm,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000270427078694
PEt_c_rm,-0.000236824613192,-0.000236824613192,-0.000236824613192,-0.000236824613192,-0.000236824613192,-0.000236824613192,-0.000236824613192,-0.000236824613192,-0.000236824613192,-0.000236824613192,-0.000236824613192,-0.000236824613192,-0.000236824613192,-0.000236824613192,-0.000236824613192,-7.2675649718e-05
PEt_mm_rm,,,,,0.00111805221222,,,,,,,,,,,
PEt_rm_vm,-0.00111805221222,-0.00111805221222,-0.00111805221222,-0.00111805221222,,-0.00111805221222,-0.00111805221222,-0.00111805221222,-0.00111805221222,-0.00111805221222,-0.00111805221222,-0.00111805221222,-0.00111805221222,-0.00111805221222,-0.00111805221222,-0.000343102728412
PFK_c,12.671444252960294,12.968423013952034,12.172856454899536,12.663487430816303,13.066711173254348,12.669605127656816,12.255071225297431,12.686026513965512,12.687165755581626,12.883063781770383,12.114973403055664,12.529216424616363,12.242489316308223,12.529216426482664,12.672940047522752,2.034108925325366
PGCD_c,0.023623854577862,0.351713113789665,0.073232625274087,0.015127528712348,0.127901990602932,0.05747219213066,0.064112702440403,0.038761194047903,0.041054039121559,0.095096634648196,0.078815065667841,0.076545383528284,0.66564690245973,0.076545383538573,0.047089490154022,0.002133251516883
PGI_c,12.829776883937582,13.20999999999922,12.85580366528453,12.819520829043428,13.174223695260135,12.845051624295404,12.849569368384223,12.84774502018256,12.849729971969609,13.041069894131766,12.859454911730388,12.848907703096124,12.900548698998662,12.848907704981004,12.841926573282432,2.080527290009637
PGK_c,25.32358143027457,26.06448829908671,23.203796535272588,20.34316464534132,25.73831567992304,24.48321381180466,22.301842621893982,24.51409378300196,25.2529929403564,25.526167363052476,21.272163505282325,24.435781167546327,24.51969283040277,24.435781170167544,23.798096257207032,4.056452337262384
PGMT_c,0.375100167964319,,0.349423834412073,0.385218037581984,0.035200044137761,0.360020221774966,0.355574137090114,0.3573346786359,0.355415273238986,0.166654020778722,0.345821797304484,0.356227106085752,0.305281898625674,0.356227106078964,0.363093349164251,0.118981441794787
PGM_c,25.29995757569671,25.712775185297044,23.1305639099985,20.328037116628977,25.610413689320108,24.425741619674,22.237729919453585,24.475332588954057,25.21193890123484,25.43107072840428,21.19334843961449,24.359235784018043,23.854045927943044,24.35923578662897,23.75100676705301,4.054319085745501
PHETA1_c,-0.007145787178851,-0.034098326278972,-0.018688396270501,-0.00331437107006,-0.033471767185591,-0.020854948398317,-0.016093624393131,-0.013466331016468,-0.014266726581567,-0.06168134904619,-0.020266352890125,-0.020301214916481,-0.032777071902402,-0.020301214918921,-0.016088974123466,-0.000555426904649
PHETRS_c,0.007145787178851,0.034098326278972,0.018688396270501,0.00331437107006,0.033471767185591,0.020854948398317,0.016093624393131,0.013466331016468,0.014266726581567,0.06168134904619,0.020266352890125,0.020301214916481,0.032777071902402,0.020301214918921,0.016088974123466,0.000555426904649
PIt_c_rm,-0.000102921622662,-0.000102921622662,-0.000102921622662,-0.000102921622662,-0.000102921622662,-0.000102921622662,-0.000102921622662,-0.000102921622662,-0.000102921622662,-0.000102921622662,-0.000102921622662,-0.000102921622662,-0.000102921622662,-0.000102921622662,-0.000102921622662,-0.010697565078772
PItps_e,0.017334705385504,0.027848825869571,0.021180581181613,0.015962878236007,0.026688395807947,0.019949756474878,0.020302322396202,0.01928981315417,0.019550635053709,0.040200811955784,0.021685874696182,0.020383099078443,0.026290921687926,0.020383098947616,0.019340608500026,0.004617838593343
PMANM_c,-0.136609469976514,,-0.127258286967057,-0.140294343841706,-0.012819667340877,-0.131117434429364,-0.129498194225969,-0.130139374017347,-0.129440336863177,-0.060694500809186,-0.125946444365722,-0.129736002033119,-0.111182030632,-0.129736002030647,-0.132236650947179,-0.043332403152039
PMEMT_rm,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000881227599028,0.000270427078694
PMEVK_c,0.00684744556209,0.00684744556209,0.00684744556209,0.00684744556209,0.00684744556209,0.00684744556209,0.00684744556209,0.00684744556209,0.00684744556209,0.00684744556209,0.00684744556209,0.00684744556209,0.00684744556209,0.00684744556209,0.828088916801507,0.002101312647775
PMTCOAt_c_r,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,4.0336082843e-05
PMTCOAt_c_rm,0.003046947484786,0.003046947484786,0.003046947484786,0.003046947484786,0.003046947484786,0.003046947484786,0.003046947484786,0.003046892170795,0.003046947484786,0.003046947484786,0.003046947484786,0.003046947484786,0.003046947484786,0.003046947484786,0.003046947484786,0.024727295676209
PNTK_c,1.9325243262e-05,1.9326090685e-05,1.9325639753e-05,1.9325120892e-05,1.9325974953e-05,1.9325429213e-05,1.9325552349e-05,1.9325425477e-05,1.9325450179e-05,1.9326967017e-05,1.9325690441e-05,1.9325495674e-05,1.9325975122e-05,1.9325495674e-05,1.9325413831e-05,5.930380006e-06
PNTOtps_e,1.9325243262e-05,1.9326090685e-05,1.9325639753e-05,1.9325120892e-05,1.9325974953e-05,1.9325429213e-05,1.9325552349e-05,1.9325425477e-05,1.9325450179e-05,1.9326967017e-05,1.9325690441e-05,1.9325495674e-05,1.9325975122e-05,1.9325495674e-05,1.9325413831e-05,5.930380006e-06
PPA_c,3.621864898303666,1.582700637140886,1.223186517124133,0.721772071844765,1.337640934496708,2.571075313329337,1.140594937172511,3.993549773069456,4.256388793083855,2.350485533242356,1.272112314910493,2.781936724967007,2.722097494041742,2.781936725707617,4.308514352090728,0.462413728380772
PPA_m,,,,,,,,,,6.408089736e-06,,,6.408089736e-06,,,0.000178810187848
PPBNGD_c,3.32546939e-07,7.85185568e-07,4.37616317e-07,2.75119596e-07,0.000113159851444,5.68970872e-07,4.10955101e-07,4.13662272e-07,4.24317495e-07,1.263661382e-06,4.52253429e-07,9.58189574e-07,8.37053556e-07,9.58189576e-07,4.64652178e-07,1.14562388e-07
PPBNGS_1_c,1.330187756e-06,3.140742274e-06,1.750465269e-06,1.100478383e-06,0.000452639405777,2.275883486e-06,1.643820405e-06,1.654649086e-06,1.697269982e-06,5.054645526e-06,1.809013715e-06,3.832758295e-06,3.348214222e-06,3.832758302e-06,1.858608713e-06,4.58249552e-07
PPCDC_c,1.9325243262e-05,1.9326090685e-05,1.9325639753e-05,1.9325120892e-05,1.9325974953e-05,1.9325429213e-05,1.9325552349e-05,1.9325425477e-05,1.9325450179e-05,1.9326967017e-05,1.9325690441e-05,1.9325495674e-05,1.9325975122e-05,1.9325495674e-05,1.9325413831e-05,5.930380006e-06
PPIt_c_l,-5.8459637e-08,-5.8459637e-08,-5.8459637e-08,-5.8459637e-08,-5.8459637e-08,-5.8459637e-08,-5.8459637e-08,,-5.8459637e-08,-5.8459637e-08,-5.8459637e-08,-5.8459637e-08,-5.8459637e-08,-5.8459637e-08,-5.8459637e-08,-1.7939825e-08
PPIt_c_m,-1.01673671e-07,-6.509763406e-06,-1.01673671e-07,-1.01673671e-07,-1.01673671e-07,-1.01673671e-07,-1.01673671e-07,-1.01673671e-07,-1.01673671e-07,-1.01673671e-07,-1.01673671e-07,-1.01673671e-07,-1.01673671e-07,-1.01673671e-07,-1.01673671e-07,0.000178778986699
PPIt_c_rm,-0.001689063935605,-0.001689063935605,-0.001689063935605,-0.001689063935605,-0.001689063935605,-0.001689063935605,-0.001689063935605,-0.001689063935605,-0.001689063935605,-0.001689063935605,-0.001689063935605,-0.001689063935605,-0.001689063935605,-0.001689063935605,-0.001689063935605,-0.000518332183805
PPNCL2_c,1.9325243262e-05,1.9326090685e-05,1.9325639753e-05,1.9325120892e-05,1.9325974953e-05,1.9325429213e-05,1.9325552349e-05,1.9325425477e-05,1.9325450179e-05,1.9326967017e-05,1.9325690441e-05,1.9325495674e-05,1.9325975122e-05,1.9325495674e-05,1.9325413831e-05,5.930380006e-06
PPND2_c,0.005632921485213,0.026904739154176,0.015709299461187,0.002497347931783,0.024128865241655,0.011669634094045,1.267409112272079,0.009955651227591,0.010537017261859,0.051184446585742,0.017134254530219,0.413111203843972,0.431178244006635,0.413111203976934,0.010814063088977,0.000386234319612
PPNDH_c,0.007145787178851,0.034098326278972,0.018688396270501,0.00331437107006,0.033471767185591,0.020854948398317,0.016093624393131,0.013466331016468,0.014266726581567,0.06168134904619,0.020266352890125,0.020301214916481,0.032777071902402,0.020301214918921,0.016088974123466,0.000555426904649
PPPG9t_c_m,2.24346958e-07,2.7702765e-07,2.28639411e-07,2.24187912e-07,0.0001126615961,2.26591773e-07,2.28001921e-07,2.248442e-07,2.24986738e-07,2.22919007e-07,2.2901857e-07,2.30000155e-07,3.27692685e-07,2.30000155e-07,2.25694435e-07,1.12406256e-07
PPPGO_m,1.12173479e-07,1.38513825e-07,1.14319705e-07,1.12093956e-07,5.633079805e-05,1.13295886e-07,1.1400096e-07,1.124221e-07,1.12493369e-07,1.11459503e-07,1.14509285e-07,1.15000077e-07,1.63846342e-07,1.15000077e-07,1.12847218e-07,5.6203128e-08
PRAGSi_c,0.002324943966331,0.007823662135494,0.004337009691068,0.00161449845039,0.007217475490315,0.003693464303464,0.003878647712219,0.003350193994858,0.003486463412258,0.012544652484865,0.004608350561419,0.003918190390773,0.006955942712526,0.003918190347326,0.003375428592821,0.000347683731046
PRAIS_c,0.002324943966331,0.007823662135494,0.004337009691068,0.00161449845039,0.007217475490315,0.003693464303464,0.003878647712219,0.003350193994858,0.003486463412258,0.012544652484865,0.004608350561419,0.003918190390773,0.006955942712526,0.003918190347326,0.003375428592821,0.000347683731046
PRAIi_c,0.009218025211119,0.284899361114817,0.034069019888001,0.007459743303654,0.0684760689471,0.025765668106223,0.030151456688023,0.013222378042187,0.014139522930778,0.017681442018847,0.036470032667896,0.042446329801653,0.544267967150612,0.042446329806981,0.019180675980877,0.000745153990853
PRAMPC_c,0.003997040560036,0.027804163191411,0.010310986829057,0.001886926225767,0.025701814021801,0.006641935760407,0.008919748271425,0.007125093690298,0.007518562845213,0.035687778394634,0.011144193025704,0.007975056753238,0.020213314168312,0.007975056754857,0.006212683509367,0.000268433066159
PRASCSi_c,0.002324943966331,0.007823662135494,0.004337009691068,0.00161449845039,0.007217475490315,0.003693464303464,0.003878647712219,0.003350193994858,0.003486463412258,0.012544652484865,0.004608350561419,0.003918190390773,0.006955942712526,0.003918190347326,0.003375428592821,0.000347683731046
PRATPP_c,0.003997040560036,0.027804163191411,0.010310986829057,0.001886926225767,0.025701814021801,0.006641935760407,0.008919748271425,0.007125093690298,0.007518562845213,0.035687778394634,0.011144193025704,0.007975056753238,0.020213314168312,0.007975056754857,0.006212683509367,0.000268433066159
PRFGS_c,0.002324943966331,0.007823662135494,0.004337009691068,0.00161449845039,0.007217475490315,0.003693464303464,0.003878647712219,0.003350193994858,0.003486463412258,0.012544652484865,0.004608350561419,0.003918190390773,0.006955942712526,0.003918190347326,0.003375428592821,0.000347683731046
PRMICI_c,0.003997040560036,0.027804163191411,0.010310986829057,0.001886926225767,0.025701814021801,0.006641935760407,0.008919748271425,0.007125093690298,0.007518562845213,0.035687778394634,0.011144193025704,0.007975056753238,0.020213314168312,0.007975056754857,0.006212683509367,0.000268433066159
PROTRS_c,0.007921806777826,0.043299282073151,0.021462483609964,0.003494095954563,0.035686053566975,0.016121100664697,0.018444181985294,0.014654497045679,0.015530306992209,0.077422264729639,0.023275886546488,0.017967577343206,0.032864763678348,0.017967577346273,0.013696656200743,0.000583325255355
PRPPS_c,0.017717801554388,0.327688867720467,0.052718640769446,0.01249505524784,0.107782326857126,0.039518747990093,0.046535847478658,0.026804700149308,0.028375093097952,0.077353743594843,0.05647015179267,0.057959960084246,0.577835034897857,0.057959960048151,0.03189849982099,0.001697675314851
PSCIT_c,0.014698477193149,0.069353222700626,1.547623288472424,0.006786088307137,0.067102962262105,0.039518747990093,1.287675424493609,0.026804700149308,0.028375093097952,0.130547237650779,0.042695778665466,0.439667008626374,0.472725158260096,0.439667008761987,0.03189849982099,0.001093317517513
PSD_mm,,,,,0.00111805221222,,,,,,,,,,,
PSD_vm,0.00111805221222,0.00111805221222,0.00111805221222,0.00111805221222,,0.00111805221222,0.00111805221222,0.00111805221222,0.00111805221222,0.00111805221222,0.00111805221222,0.00111805221222,0.00111805221222,0.00111805221222,0.00111805221222,0.000343102728412
PSERT_c,0.023623854577862,0.351713113789665,0.073232625274087,0.015127528712348,0.127901990602932,0.05747219213066,0.064112702440403,0.038761194047903,0.041054039121559,0.095096634648196,0.078815065667841,0.076545383528284,0.66564690245973,0.076545383538573,0.047089490154022,0.002133251516883
PSPHS_r,7.8864741526e-05,7.8864741526e-05,7.8864741526e-05,7.8864741526e-05,7.8864741526e-05,7.8864741526e-05,7.8864741526e-05,7.8864741526e-05,7.8864741526e-05,7.8864741526e-05,7.8864741526e-05,7.8864741526e-05,7.8864741526e-05,7.8864741526e-05,7.8864741526e-05,2.4201649706e-05
