Rxn,13ppd,2phetoh,3hppa,3hppb,4hbz,arte,btd,btoh,citm,cou,hdca,hxdcol,lac__L,muco,nrgn,odealc,pmtalc,polyhb,retcln,rsvtol,sesqt,skm,stalc,styr,tag
3DSPHR_r,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,1.7525498117e-05,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,0.000131441235876,4.0336082843e-05
3HACD200_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,1.7525498117e-05,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,0.000131441235876,4.0336082843e-05
3HACD220_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,1.7525498117e-05,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,0.000131441235876,4.0336082843e-05
3HACD240_rm,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,1.7525498117e-05,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,0.000131441235876,1.7525498117e-05,0.000131441235876,4.0336082843e-05
3HACD260_rm,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,8.762749058e-06,8.762749058e-06,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,6.5720617938e-05,8.762749058e-06,6.5720617938e-05,2.0168041422e-05
3HPPA1,,,12.926953939466648,,,,,,,,,,,,,,,,,,,,,,
3HPPA2,,,12.926953939466648,,,,,,,,,,,,,,,,,,,,,,
3HPPA3,,,12.926953939466648,,,,,,,,,,,,,,,,,,,,,,
3HPPB1,,,,21.014507907259787,,,,,,,,,,,,,,,,,,,,,
3HPPB2,,,,21.014507907259787,,,,,,,,,,,,,,,,,,,,,
3HPPB3,,,,21.014507907259787,,,,,,,,,,,,,,,,,,,,,
3HPPB4,,,,21.014507907259787,,,,,,,,,,,,,,,,,,,,,
3MOBDC_c,0.54971985073808,,,,,,,,,,,,,,,,,,,,,,,,
3MOPt_c_m,-0.047384446231897,-0.054106040195072,-0.080089662499608,-0.062996313712661,-0.061860901654255,-0.07355001332195,-0.009600392632452,-0.050448927686889,-0.064033377145881,-0.062650573387438,-0.122222009108453,-0.123829409038478,-0.019521749013214,-0.053241781014217,-0.077184488925767,-0.000225797839582,-0.000387298181767,-0.069453581806419,-0.147222914600657,-0.077184488925767,-0.074371844388299,-0.05277537695884,-0.000216978606466,-0.060781979613457,-0.008645550874577
