rxn	upper-bound
PROSYN-rt4722	0.00000000
PROSYN-rt4736	0.00000000
PROSYN-rt4763	0.00000000
PROSYN-rt4767	0.00000000
PROSYN-rt4769	0.00000000
PROSYN-rt4772	0.00000000
PROSYN-rt4793	0.00000000
PROSYN-rt4799	0.00000000
PROSYN-rt4804	0.00000000
PROSYN-rt4822_c	0.00000000
PROSYN-rt4822_n	0.00000000
PROSYN-rt4846	0.00000000
PROSYN-rt4860	0.00000000
PROSYN-rt4862	0.00000000
PROSYN-rt4871	0.00000000
PROSYN-rt4881	0.00000000
PROSYN-rt4892	0.00000000
PROSYN-rt4894	0.00000000
PROSYN-rt4896	0.00000000
PROSYN-rt4897	0.00000000
PROSYN-rt4907	0.00000000
PROSYN-rt4913	0.00000000
PROSYN-rt4914	0.00000000
PROSYN-rt4917	0.00000000
PROSYN-rt4918	0.00000000
PROSYN-rt4919	0.00000000
PROSYN-rt4920	0.00000000
PROSYN-rt4929	0.00000000
PROSYN-rt4934	0.00000000
PROSYN-rt4951	0.00000000
PROSYN-rt4960	0.00000000
PROSYN-rt4980	0.00000000
PROSYN-rt5001_l	0.00000000
PROSYN-rt5001_rm	0.00000000
PROSYN-rt5012	0.00000000
PROSYN-rt5014	0.00000000
PROSYN-rt5015	0.00000000
PROSYN-rt5017	0.00000000
PROSYN-rt5026	0.00000000
PROSYN-rt5030	0.00000000
PROSYN-rt5040	0.00000000
PROSYN-rt5041	0.00000000
PROSYN-rt5044	0.00000000
PROSYN-rt5045	0.00000000
PROSYN-rt5051	0.00000000
PROSYN-rt5056	0.00000000
PROSYN-rt5058	0.00000000
PROSYN-rt5064	0.00000000
PROSYN-rt5075	0.00000000
PROSYN-rt5076	0.00000000
PROSYN-rt5077	0.00000000
PROSYN-rt5078	0.00000000
PROSYN-rt5116	0.00000000
PROSYN-rt5118	0.00000000
PROSYN-rt5121	0.00000000
PROSYN-rt5142	0.00000000
PROSYN-rt5171	0.00000000
PROSYN-rt5185	0.00000000
PROSYN-rt5186	0.00000000
PROSYN-rt5191	0.00000000
PROSYN-rt5194	0.00000000
PROSYN-rt5195	0.00000000
PROSYN-rt5198	0.00000000
PROSYN-rt5201	0.00000000
PROSYN-rt5212_c	0.00000000
PROSYN-rt5212_x	0.00000000
PROSYN-rt5214	0.00000000
PROSYN-rt5227	0.00000000
